Year,States,Total Visitors,Visitors per Capita
1991,Tasmania,35070,0.074848095
1992,Tasmania,43280,0.09183929
1993,Tasmania,45930,0.097107084
1994,Tasmania,44380,0.093613682
1995,Tasmania,51230,0.107819037
1996,Tasmania,47450,0.099783609
1997,Tasmania,57030,0.120261907
1998,Tasmania,53910,0.113866301
1999,Tasmania,54800,0.115784269
2000,Tasmania,63570,0.134340659
2001,Tasmania,64310,0.135706599
2002,Tasmania,63530,0.133466947
2003,Tasmania,67050,0.13927808
2004,Tasmania,81090,0.167272442
2005,Tasmania,83870,0.171830247
2006,Tasmania,88880,0.180828662
2007,Tasmania,91300,0.184125294
2008,Tasmania,104190,0.207643282
2009,Tasmania,111900,0.220944949
2010,Tasmania,112050,0.219611579
2011,Tasmania,118100,0.230781707
2012,Tasmania,125600,0.245402129
2013,Tasmania,136010,0.265118954
2014,Tasmania,140310,0.272955412
2015,Tasmania,142590,0.276501181
2016,Tasmania,158970,0.304551315
2017,Tasmania,183110,0.344475987
2018,Tasmania,174870,0.383808505
2019,Tasmania,180610,0.40089276
2020,Tasmania,38580,0.09083774
2021,South Australia,7600,0.012000667
2022,Tasmania,69450,0.171519278
2023,Tasmania,120420,0.32060997
