Year,States,Total Visitors,Population,Visitors per Capita
1991,New South Wales,1927020,5928072,0.325066902
1991,Australian Capital Territory,73520,291523,0.252192794
1991,Northern Territory,41930,167043,0.251013212
1991,Tasmania,35070,468549,0.074848095
1991,Western Australia,451030,1647408,0.273781601
1991,South Australia,173940,1450862,0.11988735
1991,Victoria,894300,4435083,0.201642224
1991,Queensland,922190,2990441,0.308379266
1992,New South Wales,2108220,5977823,0.35267354
1992,Australian Capital Territory,73650,296519,0.24838206
1992,Northern Territory,43710,170420,0.256483981
1992,Tasmania,43280,471258,0.09183929
1992,Western Australia,485500,1668515,0.290977306
1992,South Australia,179230,1457241,0.122992696
1992,Victoria,929760,4458219,0.208549647
1992,Queensland,1041740,3057138,0.340756616
1993,New South Wales,2325890,6020171,0.386349491
1993,Australian Capital Territory,71700,300490,0.23861027
1993,Northern Territory,47110,173590,0.271386601
1993,Tasmania,45930,472983,0.097107084
1993,Western Australia,546870,1690348,0.323525097
1993,South Australia,188750,1461102,0.129183315
1993,Victoria,950670,4466738,0.212833168
1993,Queensland,1199890,3130986,0.383230714
1994,New South Wales,2523680,6071872,0.415634585
1994,Australian Capital Territory,73640,303289,0.242804718
1994,Northern Territory,67870,176761,0.383964789
1994,Tasmania,44380,474076,0.093613682
1994,Western Australia,641410,1718549,0.373227647
1994,South Australia,190530,1463977,0.130145487
1994,Victoria,1018140,4483205,0.227100924
1994,Queensland,1326540,3198877,0.41468928
1995,New South Wales,2736800,6143971,0.445444811
1995,Australian Capital Territory,84550,307022,0.275387432
1995,Northern Territory,74060,182829,0.405077969
1995,Tasmania,51230,475148,0.107819037
1995,Western Australia,668560,1751933,0.381612767
1995,South Australia,206420,1466605,0.140746827
1995,Victoria,1109830,4517353,0.245681486
1995,Queensland,1509080,3271743,0.461246498
1996,New South Wales,2993990,6214548,0.48177116
1996,Australian Capital Territory,88220,310655,0.283980622
1996,Northern Territory,76320,187342,0.407383288
1996,Tasmania,47450,475529,0.099783609
