Year,States,Total Visitors,Longitude,Latitude
1991,Tasmania,1930,146.315918,-41.640079
1992,Northern Territory,1830,132.550964,-19.491411
1993,Northern Territory,1940,132.550964,-19.491411
1994,Australian Capital Territory,3020,149.012375,-35.473469
1995,Northern Territory,2860,132.550964,-19.491411
1996,Tasmania,2520,146.315918,-41.640079
1997,Australian Capital Territory,3490,149.012375,-35.473469
1998,Australian Capital Territory,3230,149.012375,-35.473469
1999,Tasmania,3330,146.315918,-41.640079
2000,Northern Territory,4280,132.550964,-19.491411
2001,Northern Territory,4120,132.550964,-19.491411
2002,Northern Territory,3860,132.550964,-19.491411
2003,Northern Territory,3840,132.550964,-19.491411
2004,Northern Territory,3210,132.550964,-19.491411
2005,Northern Territory,4330,132.550964,-19.491411
2006,Northern Territory,3300,132.550964,-19.491411
2007,Tasmania,4800,146.315918,-41.640079
2008,Northern Territory,5150,132.550964,-19.491411
2009,Northern Territory,4970,132.550964,-19.491411
2010,Northern Territory,4650,132.550964,-19.491411
2011,Northern Territory,3840,132.550964,-19.491411
2012,Northern Territory,5250,132.550964,-19.491411
2013,Northern Territory,4760,132.550964,-19.491411
2014,Northern Territory,4480,132.550964,-19.491411
2015,Northern Territory,4060,132.550964,-19.491411
2016,Northern Territory,5960,132.550964,-19.491411
2017,Northern Territory,4790,132.550964,-19.491411
2018,Northern Territory,5540,132.550964,-19.491411
2019,Northern Territory,4480,132.550964,-19.491411
2020,Northern Territory,40,132.550964,-19.491411
2021,Northern Territory,340,132.550964,-19.491411
2022,Northern Territory,2570,132.550964,-19.491411
2023,Northern Territory,3000,132.550964,-19.491411
