Year,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Others
1991,42770,221860,473930,1435490,26950,57440,111930
1992,302410,603150,1193550,2307620,4426300,8850850,17699500
1993,50200,268380,530540,1890160,24030,68720,164220
1994,64930,321920,605010,2108970,27020,83380,150480
1995,89710,360990,700140,2257550,21670,97780,197980
1996,112890,391950,781250,2518380,23680,131050,205610
1997,112640,436090,817590,2534500,28570,143510,244960
1998,101640,430350,842440,2218570,36000,134780,403440
1999,107070,440950,864430,2502710,44580,152730,347000
2000,136050,484500,977920,2657100,50380,180280,445150
2001,135630,434470,942360,2484270,56790,209630,592570
2002,129930,442450,847580,2401480,81850,218940,718980
2003,142530,447470,932210,2440560,83890,225660,473550
2004,156960,509370,1070900,2766140,99290,263070,333790
2005,182700,538780,1175360,2955680,115520,278110,216650
2006,182990,573740,1190770,2867590,168490,290280,219240
2007,203120,609080,1258540,2825020,180640,304670,232310
2008,204270,610600,1314480,2675410,195360,310990,263570
2009,157080,533200,1470940,2626700,187000,340340,242120
2010,187390,613800,1513820,2744850,194570,365460,251660
2011,186120,650460,1540740,2632410,216810,370470,275340
2012,206570,648930,1645450,2783080,235970,370900,276200
2013,193290,638900,1782490,2984710,226090,372740,283460
2014,225710,625950,1939680,3201930,254820,380030,294180
2015,201230,602000,2069140,3496850,317100,459520,303940
2016,205740,612010,2080360,4250000,279180,501560,340470
2017,267020,659860,2436400,4347640,256620,560060,287680
2018,303560,692420,2790660,4339340,208840,600550,310270
2019,329660,675790,2845920,4475720,215650,620420,302720
2020,38050,120370,552510,789340,67220,180260,79950
2021,1920,20930,148010,21370,22750,8400,22850
2022,119830,267410,1767680,1056350,149960,199880,133230
2023,242550,445420,2628030,2885050,287630,415240,283540
2024,129830,270680,1495990,2038200,197090,350980,180600
