Activities,Location,Category,Latitude,Longitude,Region
Trekking,Royal National Park,Activities & Adventure,-34.1184,151.0637,NSW
Sightseeing,Mungo National Park,Sightseeing & Nature,-33.7421,143.1225,NSW
Sightseeing,Western Plains Zoo,Sightseeing & Nature,-32.2873,148.584,NSW
Sightseeing,Cape Byron Lighthouse,Sightseeing & Nature,-28.6385,153.6362,NSW
Swimming,Bondi Beach,Relaxation & Wellness,-33.8915,151.2767,NSW
Sightseeing,Sydney Opera House,Sightseeing & Nature,-33.8568,151.2153,NSW
Scenic Drive,Blue Mountains,Sightseeing & Nature,-33.3856,150.4865,NSW
Whale Watching,Hervey Bay,Sightseeing & Nature,-25.2882,152.7677,NSW
Bushwalking,Grampians National Park,Sightseeing & Nature,-37.2109,142.398,NSW
Wildlife Watching,Taronga Zoo,Sightseeing & Nature,-33.8435,151.2413,NSW
Dolphin Watching,Port Stephens,Sightseeing & Nature,-32.7685,151.8409,NSW
Hot Air Ballooning,Hunter Valley,Activities & Adventure,-32.1932,151.7006,NSW
Scenic Boat Tour,Sydney Harbour,Sightseeing & Nature,-33.8462,151.2489,NSW
Cultural Festival,Circular Quay,Sightseeing & Nature,-33.8611,151.2126,NSW
Paragliding,Wollongong,Activities & Adventure,-34.4248,150.8931,NSW
Climbing,Mount Kosciuszko,Activities & Adventure,-36.4559,148.2636,NSW
Hiking,Blue Mountains,Sightseeing & Nature,-33.3856,150.4865,NSW
Sightseeing,Twelve Apostles,Sightseeing & Nature,-38.6621,143.1051,VIC
Hiking,Grampians National Park,Activities & Adventure,-37.2109,142.398,VIC
Spa and Wellness Retreat,Mornington Peninsula,Relaxation & Wellness,-38.2854,145.0934,VIC
Wildlife Watching,Phillip Island,Sightseeing & Nature,-38.4899,145.2038,VIC
Scenic Drive,Great Ocean Road,Sightseeing & Nature,-38.733826,143.687271,VIC
Art Gallery Visit,National Gallery of Victoria,Sightseeing & Nature,-37.8226,144.9689,VIC
Cultural Festival,Melbourne International Film Festival,Sightseeing & Nature,-37.8124,144.9623,VIC
Museum Tour,Melbourne Museum,Sightseeing & Nature,-37.8033,144.9717,VIC
Wildlife Watching,Wilsons Promontory,Sightseeing & Nature,-38.9804,146.3717,VIC
