Country of Residence,Year,Number of Visitors,Longitude,Latitude
New Zealand,2019,133630,172.787,-39.759
New Zealand,2022,79560,172.787,-39.759
New Zealand,2023,115960,172.787,-39.759
New Zealand,2024,121320,172.787,-39.759
China,2019,150390,106.337289,32.498178
China,2022,12390,106.337289,32.498178
China,2023,79040,106.337289,32.498178
China,2024,103840,106.337289,32.498178
USA,2019,61530,-97.482602,39.538479
USA,2022,27040,-97.482602,39.538479
USA,2023,55980,-97.482602,39.538479
USA,2024,42030,-97.482602,39.538479
Japan,2019,43000,138.44217,36.142538
Japan,2022,7600,138.44217,36.142538
Japan,2023,30540,138.44217,36.142538
Japan,2024,33240,138.44217,36.142538
United Kingdom,2019,39300,-0.118092,51.608913
United Kingdom,2022,25340,-0.118092,51.608913
United Kingdom,2023,32990,-0.118092,51.608913
United Kingdom,2024,32840,-0.118092,51.608913
South Korea,2019,20930,128.129504,36.384924
South Korea,2022,7080,128.129504,36.384924
South Korea,2023,22950,128.129504,36.384924
South Korea,2024,31090,128.129504,36.384924
Singapore,2019,34020,103.85195,1.29027
Singapore,2022,23900,103.85195,1.29027
Singapore,2023,23560,103.85195,1.29027
Singapore,2024,27300,103.85195,1.29027
India,2019,26040,79.358105,22.686852
India,2022,22380,79.358105,22.686852
India,2023,24120,79.358105,22.686852
India,2024,26860,79.358105,22.686852
Hong Kong,2019,31110,114.177216,22.302711
Hong Kong,2022,4640,114.177216,22.302711
Hong Kong,2023,18450,114.177216,22.302711
Hong Kong,2024,21430,114.177216,22.302711
Indonesia,2019,20680,101.892949,-0.954404
Indonesia,2022,9030,101.892949,-0.954404
Indonesia,2023,22360,101.892949,-0.954404
Indonesia,2024,20620,101.892949,-0.954404
