Year,States,Total Visitors
1991,New South Wales,110600
1991,Victoria,43180
1991,Queensland,62200
1991,South Australia,7560
1991,Western Australia,25600
1991,Tasmania,1930
1991,Northern Territory,2040
1991,Australian Capital Territory,2970
1992,New South Wales,130290
1992,Victoria,42850
1992,Queensland,78940
1992,South Australia,8290
1992,Western Australia,31030
1992,Tasmania,3000
1992,Northern Territory,1830
1992,Australian Capital Territory,2340
1993,New South Wales,142900
1993,Victoria,51670
1993,Queensland,93050
1993,South Australia,9190
1993,Western Australia,38530
1993,Tasmania,3600
1993,Northern Territory,1940
1993,Australian Capital Territory,3160
1994,New South Wales,158500
1994,Victoria,55940
1994,Queensland,107820
1994,South Australia,7840
1994,Western Australia,43800
1994,Tasmania,3800
1994,Northern Territory,3310
1994,Australian Capital Territory,3020
1995,New South Wales,176570
1995,Victoria,58720
1995,Queensland,120020
1995,South Australia,8570
1995,Western Australia,46800
1995,Tasmania,4590
1995,Northern Territory,2860
1995,Australian Capital Territory,3030
1996,New South Wales,195580
1996,Victoria,63930
1996,Queensland,136260
1996,South Australia,10410
1996,Western Australia,49430
1996,Tasmania,2520
1996,Northern Territory,3480
1996,Australian Capital Territory,2780
1997,New South Wales,182330
1997,Victoria,68380
1997,Queensland,123150
1997,South Australia,12970
1997,Western Australia,49370
1997,Tasmania,4440
1997,Northern Territory,3750
1997,Australian Capital Territory,3490
1998,New South Wales,185430
1998,Victoria,76160
1998,Queensland,122590
1998,South Australia,13180
1998,Western Australia,47400
1998,Tasmania,3880
1998,Northern Territory,4380
1998,Australian Capital Territory,3230
1999,New South Wales,199780
1999,Victoria,71350
1999,Queensland,117590
1999,South Australia,15770
1999,Western Australia,44350
1999,Tasmania,3330
1999,Northern Territory,4930
1999,Australian Capital Territory,3450
2000,New South Wales,237720
2000,Victoria,89380
2000,Queensland,135500
2000,South Australia,16660
2000,Western Australia,65620
2000,Tasmania,5900
2000,Northern Territory,4280
2000,Australian Capital Territory,4660
2001,New South Wales,224380
2001,Victoria,91620
2001,Queensland,124000
2001,South Australia,13860
2001,Western Australia,55710
2001,Tasmania,5090
2001,Northern Territory,4120
2001,Australian Capital Territory,4390
2002,New South Wales,217700
2002,Victoria,96260
2002,Queensland,130670
2002,South Australia,15050
2002,Western Australia,60280
2002,Tasmania,5590
2002,Northern Territory,3860
2002,Australian Capital Territory,4550
2003,New South Wales,229690
2003,Victoria,104110
2003,Queensland,142290
2003,South Australia,15220
2003,Western Australia,59430
2003,Tasmania,5970
2003,Northern Territory,3840
2003,Australian Capital Territory,5670
2004,New South Wales,235480
2004,Victoria,108300
2004,Queensland,153380
2004,South Australia,17510
2004,Western Australia,62440
2004,Tasmania,5410
2004,Northern Territory,3210
2004,Australian Capital Territory,5660
2005,New South Wales,237650
2005,Victoria,113550
2005,Queensland,151570
2005,South Australia,17360
2005,Western Australia,64430
2005,Tasmania,5210
2005,Northern Territory,4330
2005,Australian Capital Territory,5150
2006,New South Wales,250830
2006,Victoria,128030
2006,Queensland,152070
2006,South Australia,21490
