Year,States,Total Visitors,Longitude,Latitude
1991,New South Wales,110600,145.612793,-31.840233
1991,Victoria,43180,144.9646,-37.0201
1991,Queensland,62200,142.702789,-20.917574
1991,South Australia,7560,136.209152,-30.000233
1991,Western Australia,25600,117.793221,-25.042261
1991,Tasmania,1930,146.315918,-41.640079
1991,Northern Territory,2040,132.550964,-19.491411
1991,Australian Capital Territory,2970,149.012375,-35.473469
1992,New South Wales,130290,145.612793,-31.840233
1992,Victoria,42850,144.9646,-37.0201
1992,Queensland,78940,142.702789,-20.917574
1992,South Australia,8290,136.209152,-30.000233
1992,Western Australia,31030,117.793221,-25.042261
1992,Tasmania,3000,146.315918,-41.640079
1992,Northern Territory,1830,132.550964,-19.491411
1992,Australian Capital Territory,2340,149.012375,-35.473469
1993,New South Wales,142900,145.612793,-31.840233
1993,Victoria,51670,144.9646,-37.0201
1993,Queensland,93050,142.702789,-20.917574
1993,South Australia,9190,136.209152,-30.000233
1993,Western Australia,38530,117.793221,-25.042261
1993,Tasmania,3600,146.315918,-41.640079
1993,Northern Territory,1940,132.550964,-19.491411
1993,Australian Capital Territory,3160,149.012375,-35.473469
1994,New South Wales,158500,145.612793,-31.840233
1994,Victoria,55940,144.9646,-37.0201
1994,Queensland,107820,142.702789,-20.917574
1994,South Australia,7840,136.209152,-30.000233
1994,Western Australia,43800,117.793221,-25.042261
1994,Tasmania,3800,146.315918,-41.640079
1994,Northern Territory,3310,132.550964,-19.491411
1994,Australian Capital Territory,3020,149.012375,-35.473469
1995,New South Wales,176570,145.612793,-31.840233
1995,Victoria,58720,144.9646,-37.0201
1995,Queensland,120020,142.702789,-20.917574
1995,South Australia,8570,136.209152,-30.000233
1995,Western Australia,46800,117.793221,-25.042261
1995,Tasmania,4590,146.315918,-41.640079
1995,Northern Territory,2860,132.550964,-19.491411
1995,Australian Capital Territory,3030,149.012375,-35.473469
1996,New South Wales,195580,145.612793,-31.840233
1996,Victoria,63930,144.9646,-37.0201
1996,Queensland,136260,142.702789,-20.917574
1996,South Australia,10410,136.209152,-30.000233
1996,Western Australia,49430,117.793221,-25.042261
1996,Tasmania,2520,146.315918,-41.640079
1996,Northern Territory,3480,132.550964,-19.491411
1996,Australian Capital Territory,2780,149.012375,-35.473469
1997,New South Wales,182330,145.612793,-31.840233
1997,Victoria,68380,144.9646,-37.0201
1997,Queensland,123150,142.702789,-20.917574
1997,South Australia,12970,136.209152,-30.000233
1997,Western Australia,49370,117.793221,-25.042261
1997,Tasmania,4440,146.315918,-41.640079
1997,Northern Territory,3750,132.550964,-19.491411
1997,Australian Capital Territory,3490,149.012375,-35.473469
1998,New South Wales,185430,145.612793,-31.840233
1998,Victoria,76160,144.9646,-37.0201
1998,Queensland,122590,142.702789,-20.917574
1998,South Australia,13180,136.209152,-30.000233
1998,Western Australia,47400,117.793221,-25.042261
1998,Tasmania,3880,146.315918,-41.640079
1998,Northern Territory,4380,132.550964,-19.491411
1998,Australian Capital Territory,3230,149.012375,-35.473469
1999,New South Wales,199780,145.612793,-31.840233
1999,Victoria,71350,144.9646,-37.0201
1999,Queensland,117590,142.702789,-20.917574
1999,South Australia,15770,136.209152,-30.000233
1999,Western Australia,44350,117.793221,-25.042261
1999,Tasmania,3330,146.315918,-41.640079
1999,Northern Territory,4930,132.550964,-19.491411
1999,Australian Capital Territory,3450,149.012375,-35.473469
2000,New South Wales,237720,145.612793,-31.840233
2000,Victoria,89380,144.9646,-37.0201
2000,Queensland,135500,142.702789,-20.917574
2000,South Australia,16660,136.209152,-30.000233
2000,Western Australia,65620,117.793221,-25.042261
2000,Tasmania,5900,146.315918,-41.640079
2000,Northern Territory,4280,132.550964,-19.491411
2000,Australian Capital Territory,4660,149.012375,-35.473469
2001,New South Wales,224380,145.612793,-31.840233
2001,Victoria,91620,144.9646,-37.0201
2001,Queensland,124000,142.702789,-20.917574
2001,South Australia,13860,136.209152,-30.000233
2001,Western Australia,55710,117.793221,-25.042261
2001,Tasmania,5090,146.315918,-41.640079
2001,Northern Territory,4120,132.550964,-19.491411
2001,Australian Capital Territory,4390,149.012375,-35.473469
2002,New South Wales,217700,145.612793,-31.840233
2002,Victoria,96260,144.9646,-37.0201
2002,Queensland,130670,142.702789,-20.917574
2002,South Australia,15050,136.209152,-30.000233
